City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bengkulu,ID,75.54,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
17,Atuona,PF,79.86,scattered clouds,-9.8,-139.0333,Villa Enata
20,Carauari,BR,80.85,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
23,San Policarpo,PH,77.7,overcast clouds,12.1791,125.5072,JM Lodge
24,Rikitea,PF,78.04,overcast clouds,-23.1203,-134.9692,Pension Maro'i
26,Balabac,PH,81.09,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
28,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
31,Keffi,NG,86.0,few clouds,8.8486,7.8736,Imam Family
33,Cabo San Lucas,MX,82.99,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
37,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Salinopolis,BR,80.33,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
47,Governador Valadares,BR,78.84,clear sky,-18.8511,-41.9494,Hotel Panorama
51,Agadez,NE,88.75,clear sky,19.75,10.25,
54,Harper,LR,80.2,overcast clouds,4.375,-7.7169,Screensaver
60,Mango,US,86.0,overcast clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
69,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
75,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
76,Kavaratti,IN,83.8,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
80,Bama,NG,83.35,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
85,Avera,US,75.2,broken clouds,33.194,-82.5271,
94,Caravelas,BR,76.96,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
96,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
98,Tezu,IN,76.75,broken clouds,27.9167,96.1667,Circuit House
99,Veraval,IN,80.82,few clouds,20.9,70.3667,Lords Inn Somnath
101,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
102,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
107,Hithadhoo,MV,82.31,overcast clouds,-0.6,73.0833,Scoop Guest House
108,Riyadh,SA,80.6,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
116,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
118,Muisne,EC,82.4,few clouds,0.6,-80.0333,Quinta Samay
122,Butaritari,KI,82.6,few clouds,3.0707,172.7902,Isles Sunset Lodge
124,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
127,Arraial Do Cabo,BR,75.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
130,Tura,IN,76.51,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
132,Vanimo,PG,75.54,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
134,Bahia Honda,CU,81.63,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
139,Kandrian,PG,77.77,overcast clouds,-6.2167,149.55,Kandrian Station
144,Kavieng,PG,81.7,light rain,-2.5744,150.7967,Nusa Island Retreat
146,Lorengau,PG,79.93,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
158,Ixtapa,MX,82.4,broken clouds,20.7,-105.2,Hotel Plaza Providencia
163,Trincomalee,LK,80.19,clear sky,8.5711,81.2335,Welcombe Hotel
164,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
168,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
169,Gao,ML,89.89,clear sky,16.6362,1.637,
172,Sur,OM,83.71,clear sky,22.5667,59.5289,Sur Plaza Hotel
176,Bacolod,PH,77.86,broken clouds,10.6667,122.95,Planta Hotel & Residences
179,Sunrise Manor,US,80.6,scattered clouds,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
180,Pamekasan,ID,78.24,broken clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
181,Ca Mau,VN,78.87,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
185,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
186,Machiques,VE,89.49,broken clouds,10.0644,-72.545,hotel el markes
191,Sakakah,SA,87.8,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
194,Amontada,BR,78.35,scattered clouds,-3.3617,-39.8317,Casa do Otávio
195,Santa Isabel Do Rio Negro,BR,82.31,overcast clouds,-0.4139,-65.0192,Hotel GSA
201,Gazanjyk,TM,76.24,clear sky,39.2446,55.5154,Railway motel
202,Rudbar,AF,79.84,clear sky,30.15,62.6,
210,Tabou,CI,79.41,overcast clouds,4.423,-7.3528,hotêl doufoulougou
212,Adre,TD,82.9,overcast clouds,13.4667,22.2,
214,Iracoubo,GF,78.62,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
216,Faanui,PF,81.05,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
220,Turan,VN,80.6,mist,16.0678,108.2208,Sun River Hotel
221,Nombre De Dios,MX,86.0,few clouds,23.85,-104.2333,Uraján de Luna Hotel Boutique & SPA
222,Kroya,ID,77.09,scattered clouds,-7.6331,109.2461,RUSTANTO Fam
227,Soyo,AO,79.12,few clouds,-6.1349,12.3689,Hotel Mpampa
229,Makakilo City,US,82.4,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
231,Mogadishu,SO,83.07,overcast clouds,2.0371,45.3438,Hotel Juba
232,Conde,BR,78.8,clear sky,-7.2597,-34.9075,Pousada Beija Flor
237,Henderson,US,80.6,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
238,Birao,CF,76.17,overcast clouds,10.2849,22.7882,
240,Namibe,AO,78.22,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
243,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
246,Dickinson,US,79.0,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
254,Mitsamiouli,KM,80.87,overcast clouds,-11.3847,43.2844,Foyer ADM
257,Awbari,LY,77.25,clear sky,26.5921,12.7805,فندق أوباري
265,Mareeba,AU,75.2,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
269,Mahibadhoo,MV,82.71,clear sky,3.7833,72.9667,Omadhoo Inn
271,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
279,Namatanai,PG,80.04,moderate rain,-3.6667,152.4333,Namatanai Hotel
