City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Palmares Do Sul,-30.2578,-50.5097,67.84,71,60,14.07,BR,broken clouds,2021-04-25 21:24:17
1,Ushuaia,-54.8,-68.3,51.8,66,40,14.97,AR,scattered clouds,2021-04-25 21:24:18
2,Yellowknife,62.456,-114.3525,12.0,66,90,12.66,CA,light snow,2021-04-25 21:24:18
3,Bengkulu,-3.8004,102.2655,75.54,89,66,4.54,ID,broken clouds,2021-04-25 21:19:27
4,Rundu,-17.9333,19.7667,63.63,35,4,4.76,NA,clear sky,2021-04-25 21:24:19
5,Talnakh,69.4865,88.3972,-2.42,94,87,2.89,RU,overcast clouds,2021-04-25 21:24:19
6,Chokurdakh,70.6333,147.9167,20.05,94,100,14.09,RU,light snow,2021-04-25 21:24:20
7,Sosnogorsk,63.6023,53.8817,42.64,69,100,9.86,RU,overcast clouds,2021-04-25 21:24:20
8,Mataura,-46.1927,168.8643,46.99,80,66,11.01,NZ,broken clouds,2021-04-25 21:24:20
9,Laives,46.4228,11.3348,55.4,58,0,2.3,IT,clear sky,2021-04-25 21:24:21
10,Hermanus,-34.4187,19.2345,62.01,88,100,3.0,ZA,overcast clouds,2021-04-25 21:20:42
11,Narsaq,60.9167,-46.05,50.0,32,75,25.32,GL,broken clouds,2021-04-25 21:22:46
12,Melo,-32.3667,-54.1833,60.03,68,18,8.3,UY,few clouds,2021-04-25 21:24:22
13,Busselton,-33.65,115.3333,52.0,97,100,4.85,AU,overcast clouds,2021-04-25 21:19:39
14,Bilibino,68.0546,166.4372,19.31,90,98,3.27,RU,overcast clouds,2021-04-25 21:24:23
15,Port Alfred,-33.5906,26.891,70.5,62,100,13.09,ZA,overcast clouds,2021-04-25 21:22:40
16,Punta Arenas,-53.15,-70.9167,55.4,67,75,16.11,CL,light rain,2021-04-25 21:24:23
17,Atuona,-9.8,-139.0333,79.86,73,47,14.85,PF,scattered clouds,2021-04-25 21:24:24
18,Qaanaaq,77.484,-69.3632,30.96,75,21,4.85,GL,few clouds,2021-04-25 21:24:24
19,Jamestown,42.097,-79.2353,44.01,70,90,10.36,US,overcast clouds,2021-04-25 21:22:21
20,Carauari,-4.8828,-66.8958,80.85,89,97,0.76,BR,heavy intensity rain,2021-04-25 21:24:24
21,Hamilton,39.1834,-84.5333,64.0,36,20,9.22,US,few clouds,2021-04-25 21:20:30
22,Surt,31.2089,16.5887,62.4,83,0,7.29,LY,clear sky,2021-04-25 21:24:25
23,San Policarpo,12.1791,125.5072,77.7,82,100,9.62,PH,overcast clouds,2021-04-25 21:24:25
24,Rikitea,-23.1203,-134.9692,78.04,74,100,8.01,PF,overcast clouds,2021-04-25 21:19:32
25,Ketchikan,55.3422,-131.6461,59.0,33,1,10.36,US,clear sky,2021-04-25 21:24:26
26,Balabac,7.9868,117.0645,81.09,78,46,7.7,PH,scattered clouds,2021-04-25 21:24:06
27,Aktau,43.65,51.2,50.0,93,90,6.71,KZ,fog,2021-04-25 21:24:26
28,Vaini,-21.2,-175.2,77.0,88,75,5.75,TO,light rain,2021-04-25 21:24:27
29,Vardo,70.3705,31.1107,33.8,69,20,13.8,NO,few clouds,2021-04-25 21:23:37
30,Mayor Pablo Lagerenza,-19.9309,-60.7718,71.74,67,100,8.34,PY,overcast clouds,2021-04-25 21:24:27
31,Keffi,8.8486,7.8736,86.0,58,20,5.75,NG,few clouds,2021-04-25 21:24:28
32,Imbituba,-28.24,-48.6703,73.4,73,75,6.91,BR,broken clouds,2021-04-25 21:24:28
33,Cabo San Lucas,22.8909,-109.9124,82.99,32,90,5.75,MX,overcast clouds,2021-04-25 21:20:08
34,Bluff,-46.6,168.3333,46.99,80,76,11.01,NZ,broken clouds,2021-04-25 21:24:29
35,Haines Junction,60.7522,-137.5108,53.6,26,0,3.44,CA,clear sky,2021-04-25 21:24:29
36,Mantua,45.1667,10.7833,62.01,63,100,5.01,IT,overcast clouds,2021-04-25 21:24:30
37,Saint-Philippe,-21.3585,55.7679,78.8,69,0,18.41,RE,light rain,2021-04-25 21:24:30
38,Muros,42.7762,-9.0603,59.0,90,90,1.01,ES,overcast clouds,2021-04-25 21:24:31
39,San Ramon De La Nueva Oran,-23.1322,-64.326,73.0,77,68,1.99,AR,broken clouds,2021-04-25 21:20:35
40,Coos Bay,43.3665,-124.2179,54.0,76,90,17.27,US,overcast clouds,2021-04-25 21:24:31
41,Elliot Lake,46.3834,-82.6331,37.4,52,75,16.11,CA,broken clouds,2021-04-25 21:24:32
42,Nguru,12.8791,10.4526,91.71,19,24,7.43,NG,few clouds,2021-04-25 21:24:33
43,Bredasdorp,-34.5322,20.0403,55.4,94,100,4.61,ZA,overcast clouds,2021-04-25 21:20:05
44,Salinopolis,-0.6136,-47.3561,80.33,82,53,8.46,BR,broken clouds,2021-04-25 21:24:33
45,Bethel,41.3712,-73.414,59.0,58,90,11.5,US,overcast clouds,2021-04-25 21:20:11
46,Mount Gambier,-37.8333,140.7667,51.8,93,90,1.14,AU,overcast clouds,2021-04-25 21:24:34
47,Governador Valadares,-18.8511,-41.9494,78.84,63,5,4.0,BR,clear sky,2021-04-25 21:24:34
48,Tuktoyaktuk,69.4541,-133.0374,12.2,79,90,10.36,CA,light snow,2021-04-25 21:22:33
49,Ancud,-41.8697,-73.8203,57.99,82,75,2.3,CL,broken clouds,2021-04-25 21:20:42
50,Zemio,5.0314,25.1361,68.22,98,99,2.1,CF,overcast clouds,2021-04-25 21:24:35
51,Agadez,19.75,10.25,88.75,9,2,5.75,NE,clear sky,2021-04-25 21:20:23
52,Nichinan,31.6,131.3667,57.2,62,40,5.75,JP,scattered clouds,2021-04-25 21:24:36
53,Nara,34.6851,135.8049,50.0,66,75,3.44,JP,broken clouds,2021-04-25 21:24:36
54,Harper,4.375,-7.7169,80.2,81,100,6.71,LR,overcast clouds,2021-04-25 21:24:36
55,Coquimbo,-29.9533,-71.3436,60.8,77,0,11.5,CL,clear sky,2021-04-25 21:23:16
56,Fukue,32.6881,128.8419,58.78,59,85,29.55,JP,overcast clouds,2021-04-25 21:24:37
57,Khovu-Aksy,51.1333,93.6,23.56,69,16,2.77,RU,few clouds,2021-04-25 21:24:37
58,Sylacauga,33.1732,-86.2516,73.0,46,1,3.44,US,clear sky,2021-04-25 21:22:38
59,Faya,18.3851,42.4509,62.6,72,40,10.45,SA,scattered clouds,2021-04-25 21:24:38
60,Mango,27.9797,-82.3065,86.0,45,90,6.91,US,overcast clouds,2021-04-25 21:24:38
61,Yumen,40.2833,97.2,36.48,16,77,9.55,CN,broken clouds,2021-04-25 21:24:39
62,Cape Town,-33.9258,18.4232,62.01,94,20,8.05,ZA,few clouds,2021-04-25 21:23:20
63,Iqaluit,63.7506,-68.5145,33.8,86,90,4.61,CA,overcast clouds,2021-04-25 21:24:39
64,Chuy,-33.6971,-53.4616,62.65,80,98,13.85,UY,overcast clouds,2021-04-25 21:24:40
65,Albany,42.6001,-73.9662,57.99,47,88,1.01,US,overcast clouds,2021-04-25 21:24:34
66,Cherskiy,68.75,161.3,10.65,90,97,4.92,RU,overcast clouds,2021-04-25 21:24:40
67,Ponta Do Sol,32.6667,-17.1,60.01,86,54,5.01,PT,broken clouds,2021-04-25 21:22:22
68,Tasiilaq,65.6145,-37.6368,37.4,81,75,19.57,GL,light rain,2021-04-25 21:24:41
69,Saint-Pierre,-21.3393,55.4781,78.8,69,0,18.41,RE,clear sky,2021-04-25 21:24:41
70,Pevek,69.7008,170.3133,20.35,91,100,11.59,RU,light snow,2021-04-25 21:24:42
71,Geraldton,-28.7667,114.6,64.4,55,0,6.91,AU,clear sky,2021-04-25 21:23:46
72,Povenets,62.8487,34.8262,38.39,90,62,12.91,RU,broken clouds,2021-04-25 21:24:42
73,Kozulka,50.0351,23.797,39.2,75,75,8.95,UA,broken clouds,2021-04-25 21:24:43
74,Jalu,29.0331,21.5482,65.19,62,0,13.87,LY,clear sky,2021-04-25 21:24:43
75,Georgetown,5.4112,100.3354,80.01,89,20,4.74,MY,few clouds,2021-04-25 21:24:44
76,Kavaratti,10.5669,72.642,83.8,71,1,6.6,IN,clear sky,2021-04-25 21:24:44
77,Oktyabrskiy,54.4815,53.471,39.24,64,5,14.5,RU,clear sky,2021-04-25 21:24:45
78,Hailey,43.5196,-114.3153,41.0,87,90,11.5,US,overcast clouds,2021-04-25 21:24:45
79,Lompoc,34.6391,-120.4579,59.0,67,100,12.66,US,overcast clouds,2021-04-25 21:24:46
80,Bama,11.5221,13.6856,83.35,49,93,7.36,NG,overcast clouds,2021-04-25 21:24:46
81,Bairnsdale,-37.8333,147.6167,48.99,90,47,5.55,AU,scattered clouds,2021-04-25 21:24:46
82,Hobart,-42.8794,147.3294,57.2,58,75,9.22,AU,broken clouds,2021-04-25 21:24:31
83,Vila Franca Do Campo,37.7167,-25.4333,59.0,77,75,11.5,PT,broken clouds,2021-04-25 21:21:05
84,Lebu,-37.6167,-73.65,58.5,81,0,11.86,CL,clear sky,2021-04-25 21:24:47
85,Avera,33.194,-82.5271,75.2,50,75,5.75,US,broken clouds,2021-04-25 21:24:48
86,New Norfolk,-42.7826,147.0587,55.0,76,97,5.01,AU,overcast clouds,2021-04-25 21:24:48
87,Asosa,10.0667,34.5333,64.83,83,100,0.43,ET,overcast clouds,2021-04-25 21:24:49
88,Amboasary,-25.0333,46.3833,73.4,88,20,11.5,MG,few clouds,2021-04-25 21:22:37
89,Ati,13.2154,18.3353,90.18,14,96,4.72,TD,overcast clouds,2021-04-25 21:24:49
90,Oparino,59.8518,48.2783,33.66,94,100,7.43,RU,snow,2021-04-25 21:24:50
91,Fort Nelson,58.8053,-122.7002,55.4,19,20,6.91,CA,few clouds,2021-04-25 21:24:50
92,Arman,59.7,150.1667,15.84,71,28,7.05,RU,scattered clouds,2021-04-25 21:24:50
93,Thompson,55.7435,-97.8558,35.6,64,90,24.16,CA,overcast clouds,2021-04-25 21:24:51
94,Caravelas,-17.7125,-39.2481,76.96,79,6,7.4,BR,clear sky,2021-04-25 21:22:20
95,Upernavik,72.7868,-56.1549,36.01,83,22,5.19,GL,few clouds,2021-04-25 21:24:51
96,Kapaa,22.0752,-159.319,78.8,69,20,12.66,US,few clouds,2021-04-25 21:24:52
97,Te Anau,-45.4167,167.7167,45.03,93,100,8.79,NZ,heavy intensity rain,2021-04-25 21:24:52
98,Tezu,27.9167,96.1667,76.75,23,74,4.32,IN,broken clouds,2021-04-25 21:24:53
99,Veraval,20.9,70.3667,80.82,83,24,13.0,IN,few clouds,2021-04-25 21:24:53
100,San Joaquin,37.9333,-121.3011,61.0,82,90,14.97,US,overcast clouds,2021-04-25 21:24:53
101,Puerto Ayora,-0.7393,-90.3518,82.4,74,20,13.8,EC,few clouds,2021-04-25 21:24:54
102,Quatre Cocos,-20.2078,57.7625,77.0,94,40,10.36,MU,light rain,2021-04-25 21:24:54
103,Nanortalik,60.1432,-45.2371,41.41,77,100,13.58,GL,overcast clouds,2021-04-25 21:21:21
104,Barrow,71.2906,-156.7887,15.8,92,1,18.41,US,clear sky,2021-04-25 21:21:24
105,Djenne,13.9061,-4.5533,97.05,14,49,6.04,ML,scattered clouds,2021-04-25 21:24:55
106,Airai,-8.9266,125.4092,54.72,83,25,1.86,TL,scattered clouds,2021-04-25 21:24:56
107,Hithadhoo,-0.6,73.0833,82.31,69,99,4.7,MV,overcast clouds,2021-04-25 21:24:56
108,Riyadh,24.6877,46.7219,80.6,19,0,2.3,SA,clear sky,2021-04-25 21:24:57
109,Fortuna,40.5982,-124.1573,55.0,82,75,9.22,US,broken clouds,2021-04-25 21:24:57
110,Mar Del Plata,-38.0023,-57.5575,62.6,67,40,10.36,AR,scattered clouds,2021-04-25 21:24:24
111,Sioux Lookout,50.1001,-91.917,46.4,25,75,11.5,CA,broken clouds,2021-04-25 21:20:27
112,Yantikovo,55.8216,47.9104,39.2,65,75,22.37,RU,broken clouds,2021-04-25 21:24:58
113,East London,-33.0153,27.9116,68.02,73,100,10.27,ZA,overcast clouds,2021-04-25 21:24:58
114,Provideniya,64.3833,-173.3,35.6,69,0,4.47,RU,clear sky,2021-04-25 21:24:59
115,Kambove,-10.8764,26.5969,62.06,84,84,2.3,CD,broken clouds,2021-04-25 21:24:59
116,Alofi,-19.0595,-169.9187,82.4,83,49,4.61,NU,scattered clouds,2021-04-25 21:24:59
117,Yatou,37.15,122.3833,49.01,73,100,1.7,CN,overcast clouds,2021-04-25 21:20:53
118,Muisne,0.6,-80.0333,82.4,83,20,9.22,EC,few clouds,2021-04-25 21:25:00
119,Yulara,-25.2406,130.9889,53.6,54,0,8.05,AU,clear sky,2021-04-25 21:20:29
120,Taoudenni,22.6783,-3.9836,94.35,10,5,10.56,ML,clear sky,2021-04-25 21:25:01
121,Inhambane,-23.865,35.3833,71.8,90,5,2.84,MZ,clear sky,2021-04-25 21:25:01
122,Butaritari,3.0707,172.7902,82.6,75,16,12.39,KI,few clouds,2021-04-25 21:25:01
123,Urengoy,65.9667,78.3667,22.32,94,100,8.03,RU,overcast clouds,2021-04-25 21:25:02
124,Bambous Virieux,-20.3428,57.7575,77.0,94,40,10.36,MU,light rain,2021-04-25 21:25:02
125,Grindavik,63.8424,-22.4338,41.0,87,0,14.97,IS,clear sky,2021-04-25 21:25:03
126,Margate,51.3813,1.3862,45.0,67,30,4.0,GB,scattered clouds,2021-04-25 21:25:03
127,Arraial Do Cabo,-22.9661,-42.0278,75.2,88,0,6.91,BR,clear sky,2021-04-25 21:25:03
128,Mayya,61.7333,130.2811,32.0,86,40,2.24,RU,scattered clouds,2021-04-25 21:25:04
129,Northam,51.0333,-4.2167,51.01,70,7,11.99,GB,clear sky,2021-04-25 21:25:04
130,Tura,25.5198,90.2201,76.51,28,2,3.06,IN,clear sky,2021-04-25 21:23:24
131,Roma,43.2128,-75.4557,55.4,62,90,16.11,US,overcast clouds,2021-04-25 21:20:24
132,Vanimo,-2.6741,141.3028,75.54,84,100,3.06,PG,overcast clouds,2021-04-25 21:25:05
133,Imeni Babushkina,59.7573,43.1285,39.63,97,100,4.21,RU,light rain,2021-04-25 21:25:05
134,Bahia Honda,22.9036,-83.1592,81.63,68,91,5.12,CU,light rain,2021-04-25 21:25:06
135,Torbay,47.6666,-52.7314,50.0,43,20,23.02,CA,few clouds,2021-04-25 21:25:06
136,Mendi,-6.1761,143.6513,55.62,97,100,2.3,PG,overcast clouds,2021-04-25 21:25:07
137,Buluang,13.3068,123.3425,73.51,93,21,4.12,PH,few clouds,2021-04-25 21:25:07
138,Karatau,43.1667,70.4667,51.57,44,26,3.11,KZ,scattered clouds,2021-04-25 21:25:08
139,Kandrian,-6.2167,149.55,77.77,85,100,5.46,PG,overcast clouds,2021-04-25 21:25:08
140,Nouadhibou,20.931,-17.0347,66.2,82,0,14.97,MR,clear sky,2021-04-25 21:25:09
141,Fenoarivo,-18.933,47.4354,64.4,88,75,4.61,MG,broken clouds,2021-04-25 21:25:09
142,Beringovskiy,63.05,179.3167,31.3,88,100,1.45,RU,overcast clouds,2021-04-25 21:25:09
143,Castro,-24.7911,-50.0119,60.48,88,85,3.87,BR,overcast clouds,2021-04-25 21:24:19
144,Kavieng,-2.5744,150.7967,81.7,75,100,2.59,PG,light rain,2021-04-25 21:20:10
145,Clyde River,70.4692,-68.5914,21.2,100,90,25.32,CA,mist,2021-04-25 21:25:10
146,Lorengau,-2.0226,147.2712,79.93,82,56,5.66,PG,broken clouds,2021-04-25 21:25:11
147,Marzuq,14.4,46.4667,69.39,77,71,7.29,YE,broken clouds,2021-04-25 21:25:11
148,Santa Maria,-29.6842,-53.8069,68.0,60,40,3.44,BR,scattered clouds,2021-04-25 21:23:12
149,Clovis,36.8252,-119.7029,64.99,42,90,3.44,US,overcast clouds,2021-04-25 21:25:12
150,Port Macquarie,-31.4333,152.9167,55.0,92,9,3.0,AU,clear sky,2021-04-25 21:23:12
151,Antalaha,-14.9003,50.2788,72.45,88,93,5.77,MG,light rain,2021-04-25 21:21:54
152,Hornepayne,49.2138,-84.7705,37.85,40,82,7.05,CA,broken clouds,2021-04-25 21:25:13
153,Klaksvik,62.2266,-6.589,44.6,100,100,12.66,FO,overcast clouds,2021-04-25 21:25:13
154,Bilma,18.6853,12.9164,91.8,10,5,9.55,NE,clear sky,2021-04-25 21:25:13
155,Masunga,-20.6246,27.4488,62.01,28,0,6.93,BW,clear sky,2021-04-25 21:25:14
156,Abbeville,50.1,1.8333,42.01,78,70,13.29,FR,broken clouds,2021-04-25 21:25:14
157,Peniche,39.3558,-9.3811,59.0,90,18,4.0,PT,few clouds,2021-04-25 21:25:14
158,Ixtapa,20.7,-105.2,82.4,69,75,14.97,MX,broken clouds,2021-04-25 21:25:15
159,Ostrovnoy,68.0531,39.5131,33.46,98,100,20.87,RU,light snow,2021-04-25 21:25:15
160,Roald,62.5833,6.1333,37.4,75,75,10.36,NO,broken clouds,2021-04-25 21:25:16
161,Constitucion,-35.3333,-72.4167,63.52,66,3,13.73,CL,clear sky,2021-04-25 21:23:36
162,Waipawa,-41.4122,175.5153,55.4,71,20,6.91,NZ,few clouds,2021-04-25 21:25:16
163,Trincomalee,8.5711,81.2335,80.19,71,7,8.08,LK,clear sky,2021-04-25 21:25:17
164,Hilo,19.7297,-155.09,78.8,65,90,9.22,US,light rain,2021-04-25 21:25:17
165,Amot,59.5714,7.9877,36.0,55,22,1.99,NO,few clouds,2021-04-25 21:25:18
166,Yeppoon,-23.1333,150.7333,64.4,82,14,5.75,AU,few clouds,2021-04-25 21:25:18
167,Ucluelet,48.9329,-125.5528,53.01,81,75,6.91,CA,broken clouds,2021-04-25 21:25:18
168,Sao Joao Da Barra,-21.6403,-41.0511,78.8,73,0,9.22,BR,clear sky,2021-04-25 21:25:19
169,Gao,16.6362,1.637,89.89,5,4,7.52,ML,clear sky,2021-04-25 21:24:53
170,Paamiut,61.994,-49.6678,36.52,96,100,2.86,GL,overcast clouds,2021-04-25 21:20:40
171,Mayo,38.8876,-76.5119,66.0,45,75,14.97,US,broken clouds,2021-04-25 21:25:19
172,Sur,22.5667,59.5289,83.71,46,0,10.67,OM,clear sky,2021-04-25 21:25:20
173,Mackenzie,55.2999,-123.1698,48.2,25,1,8.05,CA,clear sky,2021-04-25 21:25:20
174,Kaitangata,-46.2817,169.8464,43.0,62,84,4.0,NZ,broken clouds,2021-04-25 21:25:21
175,Kodiak,57.79,-152.4072,42.8,75,90,10.36,US,overcast clouds,2021-04-25 21:25:21
176,Bacolod,10.6667,122.95,77.86,83,54,4.27,PH,broken clouds,2021-04-25 21:25:21
177,Bondo,3.8146,23.6866,68.58,99,100,3.85,CD,overcast clouds,2021-04-25 21:25:22
178,Shimoda,34.6667,138.95,55.4,30,75,13.8,JP,broken clouds,2021-04-25 21:25:22
179,Sunrise Manor,36.2111,-115.0731,80.6,10,40,29.93,US,scattered clouds,2021-04-25 21:23:35
180,Pamekasan,-7.1568,113.4746,78.24,79,58,8.52,ID,broken clouds,2021-04-25 21:25:23
181,Ca Mau,9.1769,105.15,78.87,86,26,3.62,VN,scattered clouds,2021-04-25 21:20:26
182,Terrace,54.5163,-128.6035,59.0,20,40,9.22,CA,scattered clouds,2021-04-25 21:25:24
183,Verkhovazhye,60.7472,42.0465,40.19,95,100,4.74,RU,overcast clouds,2021-04-25 21:25:24
184,Lagoa,39.05,-27.9833,59.23,81,99,13.38,PT,overcast clouds,2021-04-25 21:25:25
185,Avarua,-21.2078,-159.775,82.4,78,75,9.22,CK,light rain,2021-04-25 21:25:25
186,Machiques,10.0644,-72.545,89.49,54,69,11.07,VE,broken clouds,2021-04-25 21:25:25
187,Ukiah,39.1502,-123.2078,55.4,62,75,9.22,US,broken clouds,2021-04-25 21:25:26
188,Lavrentiya,65.5833,-171.0,29.88,84,94,1.72,RU,overcast clouds,2021-04-25 21:25:26
189,Manitouwadge,49.1215,-85.8403,35.6,55,1,9.22,CA,clear sky,2021-04-25 21:25:27
190,Liepaja,56.5419,21.0367,35.6,87,90,9.22,LV,overcast clouds,2021-04-25 21:25:27
191,Sakakah,29.9697,40.2064,87.8,13,75,14.97,SA,broken clouds,2021-04-25 21:25:28
192,Vestmannaeyjar,63.4427,-20.2734,45.03,81,0,19.26,IS,clear sky,2021-04-25 21:25:28
193,Tiksi,71.6872,128.8694,25.41,96,100,0.07,RU,light snow,2021-04-25 21:25:28
194,Amontada,-3.3617,-39.8317,78.35,79,35,6.22,BR,scattered clouds,2021-04-25 21:25:29
195,Santa Isabel Do Rio Negro,-0.4139,-65.0192,82.31,85,92,2.46,BR,overcast clouds,2021-04-25 21:25:29
196,Sitka,57.0531,-135.33,57.2,33,20,3.44,US,few clouds,2021-04-25 21:22:20
197,Riverton,40.5219,-111.9391,61.0,58,40,11.5,US,scattered clouds,2021-04-25 21:25:30
198,Whitehorse,60.7161,-135.0538,54.0,20,1,12.66,CA,clear sky,2021-04-25 21:20:59
199,Otofuke,42.9917,143.2003,30.29,71,83,2.01,JP,broken clouds,2021-04-25 21:25:31
200,Harrogate,53.9908,-1.5373,42.8,75,11,8.05,GB,few clouds,2021-04-25 21:25:31
201,Gazanjyk,39.2446,55.5154,76.24,27,3,4.61,TM,clear sky,2021-04-25 21:25:31
