City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Kaitangata,-46.2817,169.8464,41.0,74,84,1.99,NZ,broken clouds,2021-04-25 21:01:48
1,Bandarbeyla,9.4942,50.8122,83.03,72,74,8.34,SO,broken clouds,2021-04-25 21:05:35
2,Roald,62.5833,6.1333,37.4,70,75,10.36,NO,broken clouds,2021-04-25 21:05:36
3,Gujar Khan,33.2558,73.3026,71.01,53,1,3.87,PK,clear sky,2021-04-25 21:05:36
4,Hobart,-42.8794,147.3294,57.2,58,75,4.61,AU,broken clouds,2021-04-25 21:02:03
5,Esperance,-33.8667,121.9,59.0,63,0,17.27,AU,clear sky,2021-04-25 21:05:37
6,Krasnyy Chikoy,50.3643,108.7512,33.44,95,100,8.84,RU,snow,2021-04-25 21:05:37
7,Cherskiy,68.75,161.3,10.65,90,97,4.92,RU,overcast clouds,2021-04-25 21:04:24
8,Iqaluit,63.7506,-68.5145,33.8,80,90,3.44,CA,overcast clouds,2021-04-25 21:05:38
9,Hilo,19.7297,-155.09,80.6,57,75,3.44,US,light rain,2021-04-25 21:00:57
10,Saskylakh,71.9167,114.0833,18.72,94,100,19.42,RU,light snow,2021-04-25 21:05:38
11,Georgetown,5.4112,100.3354,81.0,94,20,3.44,MY,few clouds,2021-04-25 21:03:22
12,Bengkulu,-3.8004,102.2655,75.54,89,66,4.54,ID,broken clouds,2021-04-25 21:02:57
13,Havoysund,70.9963,24.6622,33.8,86,75,10.36,NO,broken clouds,2021-04-25 21:05:39
14,Tokonou,9.65,-9.7833,72.57,74,94,5.44,GN,light rain,2021-04-25 21:05:39
15,Port Elizabeth,-33.918,25.5701,59.0,88,40,2.3,ZA,scattered clouds,2021-04-25 21:05:40
16,Pangnirtung,66.1451,-65.7125,32.0,86,90,3.44,CA,overcast clouds,2021-04-25 21:05:40
17,Bukachacha,52.9833,116.9167,39.6,35,100,4.85,RU,overcast clouds,2021-04-25 21:05:41
18,Jamestown,42.097,-79.2353,44.01,70,90,10.36,US,overcast clouds,2021-04-25 21:05:41
19,Axim,4.8699,-2.2405,80.65,82,99,5.88,GH,overcast clouds,2021-04-25 21:05:42
20,Stromness,58.965,-3.296,42.8,93,100,9.22,GB,overcast clouds,2021-04-25 21:05:42
21,Qaanaaq,77.484,-69.3632,30.96,75,21,4.85,GL,few clouds,2021-04-25 21:05:42
22,Rikitea,-23.1203,-134.9692,78.04,74,100,8.01,PF,overcast clouds,2021-04-25 21:00:46
