City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Fortuna,40.5982,-124.1573,59.0,72,1,6.91,US,2021-04-23 21:59:22
1,Kutum,14.2,24.6667,79.65,17,60,9.35,SD,2021-04-23 21:59:22
2,Barrow,71.2906,-156.7887,19.4,79,1,3.44,US,2021-04-23 21:59:22
3,Dikson,73.5069,80.5464,32.2,97,100,18.57,RU,2021-04-23 21:59:23
4,Sakakah,29.9697,40.2064,78.8,11,0,8.05,SA,2021-04-23 21:59:23
5,Taoudenni,22.6783,-3.9836,91.27,6,0,9.64,ML,2021-04-23 21:59:24
6,Lompoc,34.6391,-120.4579,61.0,59,0,9.22,US,2021-04-23 21:59:24
7,Mudgee,-32.5943,149.5871,32.0,100,99,1.95,AU,2021-04-23 21:59:24
8,Bredasdorp,-34.5322,20.0403,50.0,93,97,3.44,ZA,2021-04-23 21:59:25
9,Bani Walid,31.7566,13.9942,59.83,80,52,23.29,LY,2021-04-23 21:59:25
10,Plomarion,38.9767,26.3681,64.4,55,20,1.14,GR,2021-04-23 21:59:26
11,Rikitea,-23.1203,-134.9692,79.11,68,100,17.56,PF,2021-04-23 21:59:26
12,Itaituba,-4.2761,-55.9836,87.8,66,20,2.95,BR,2021-04-23 21:59:26
13,Gladstone,-23.85,151.25,68.0,60,97,6.91,AU,2021-04-23 21:59:27
14,Busselton,-33.65,115.3333,61.0,75,99,3.0,AU,2021-04-23 21:58:30
15,Bluff,-46.6,168.3333,46.0,94,82,16.17,NZ,2021-04-23 21:59:27
16,Vostok,46.4856,135.8833,38.14,93,100,5.86,RU,2021-04-23 21:59:28
17,Fairbanks,64.8378,-147.7164,55.4,28,1,9.22,US,2021-04-23 21:59:28
18,Hobart,-42.8794,147.3294,51.8,66,75,8.05,AU,2021-04-23 21:59:28
19,Ventersburg,-28.0856,27.1381,57.47,36,83,3.13,ZA,2021-04-23 21:59:29
20,Nikolskoye,59.7035,30.7861,39.99,80,40,4.47,RU,2021-04-23 21:59:29
21,Atuona,-9.8,-139.0333,80.29,79,30,22.82,PF,2021-04-23 21:59:30
22,Qasigiannguit,68.8193,-51.1922,37.4,65,88,2.3,GL,2021-04-23 21:59:30
23,Mataura,-46.1927,168.8643,46.0,94,65,0.72,NZ,2021-04-23 21:59:31
24,Carnarvon,-24.8667,113.6333,64.4,77,0,8.05,AU,2021-04-23 21:59:31
25,Iqaluit,63.7506,-68.5145,28.4,93,90,4.61,CA,2021-04-23 21:59:31
26,Coatesville,39.9832,-75.8238,62.01,29,1,11.5,US,2021-04-23 21:59:32
27,Saint Anthony,45.0205,-93.218,48.2,81,90,3.44,US,2021-04-23 21:59:32
28,Hilo,19.7297,-155.09,75.2,73,90,6.91,US,2021-04-23 21:58:58
29,Port Elizabeth,-33.918,25.5701,62.6,82,40,8.05,ZA,2021-04-23 21:59:33
30,Port-Gentil,-0.7193,8.7815,81.1,83,63,9.75,GA,2021-04-23 21:56:20
31,Trairi,-3.2778,-39.2689,79.41,81,100,8.12,BR,2021-04-23 21:59:34
32,Butaritari,3.0707,172.7902,82.56,76,93,9.95,KI,2021-04-23 21:54:59
33,Santa Maria,-29.6842,-53.8069,75.2,53,0,8.05,BR,2021-04-23 21:59:34
34,Cockburn Town,21.4612,-71.1419,78.49,76,2,16.58,TC,2021-04-23 21:59:35
35,Ushuaia,-54.8,-68.3,42.8,87,75,4.61,AR,2021-04-23 21:54:56
36,Skrunda,56.6833,22.0167,39.2,81,75,9.22,LV,2021-04-23 21:59:35
37,Terrace,54.5163,-128.6035,59.0,23,20,4.61,CA,2021-04-23 21:59:35
38,Avarua,-21.2078,-159.775,82.4,74,40,18.41,CK,2021-04-23 21:59:36
39,Merauke,-8.4667,140.3333,78.51,87,59,7.56,ID,2021-04-23 21:57:31
40,Okha,53.5739,142.9478,28.98,73,88,7.4,RU,2021-04-23 21:59:37
41,Punta Arenas,-53.15,-70.9167,46.4,93,75,3.44,CL,2021-04-23 21:59:37
42,Ayan,56.45,138.1667,26.78,76,95,5.41,RU,2021-04-23 21:59:37
43,Mokhsogollokh,61.4681,128.9203,24.22,90,100,9.86,RU,2021-04-23 21:55:51
44,Mount Isa,-20.7333,139.5,64.4,29,29,10.36,AU,2021-04-23 21:59:38
45,Sitka,57.0531,-135.33,59.0,23,1,10.36,US,2021-04-23 21:59:39
46,Tuktoyaktuk,69.4541,-133.0374,15.8,62,75,11.5,CA,2021-04-23 21:59:39
47,Slantsy,59.1182,28.0914,35.85,92,94,6.35,RU,2021-04-23 21:59:40
48,Georgetown,5.4112,100.3354,78.8,94,40,7.36,MY,2021-04-23 21:56:44
49,Pangnirtung,66.1451,-65.7125,24.8,93,75,2.3,CA,2021-04-23 21:59:24
50,Kapaa,22.0752,-159.319,80.6,65,20,17.27,US,2021-04-23 21:59:41
51,Sisimiut,66.9395,-53.6735,35.42,68,100,3.58,GL,2021-04-23 21:59:41
52,Lorengau,-2.0226,147.2712,79.83,78,94,3.4,PG,2021-04-23 21:59:42
53,Arraial Do Cabo,-22.9661,-42.0278,73.4,83,0,18.41,BR,2021-04-23 21:59:42
54,Northam,51.0333,-4.2167,51.01,37,83,1.01,GB,2021-04-23 21:59:43
55,Saint George,37.1041,-113.5841,81.0,10,1,18.41,US,2021-04-23 21:58:42
56,Balikpapan,-1.2675,116.8289,75.97,87,96,6.85,ID,2021-04-23 21:59:29
57,Hermanus,-34.4187,19.2345,57.0,87,98,1.99,ZA,2021-04-23 21:59:43
58,Koslan,63.4564,48.8989,46.51,80,99,6.93,RU,2021-04-23 21:59:37
59,Afogados Da Ingazeira,-7.7508,-37.6392,80.1,49,71,5.01,BR,2021-04-23 21:59:44
60,Broome,42.2506,-75.833,59.0,28,1,12.66,US,2021-04-23 21:59:44
61,Puerto Del Rosario,28.5004,-13.8627,71.6,68,40,12.66,ES,2021-04-23 21:59:45
62,San Cristobal,7.7669,-72.225,89.6,58,20,9.22,VE,2021-04-23 21:55:43
63,Redencao,-4.2258,-38.7306,82.0,83,20,4.61,BR,2021-04-23 21:59:45
64,Muravlenko,63.7898,74.523,34.59,96,100,12.01,RU,2021-04-23 21:59:46
65,Puerto Ayora,-0.7393,-90.3518,84.2,70,20,17.27,EC,2021-04-23 21:59:46
66,Poyarkovo,49.6,128.6833,35.67,41,1,9.57,RU,2021-04-23 21:57:18
67,Clyde River,70.4692,-68.5914,17.6,100,90,5.75,CA,2021-04-23 21:59:47
68,Kaohsiung,22.6163,120.3133,77.0,83,75,4.61,TW,2021-04-23 21:59:47
69,Zonguldak,41.25,31.8333,51.85,72,100,5.55,TR,2021-04-23 21:59:48
70,Ponta Do Sol,32.6667,-17.1,60.01,82,50,5.99,PT,2021-04-23 21:59:48
71,Dingle,10.9995,122.6711,76.8,84,100,3.98,PH,2021-04-23 21:59:48
72,Iquique,-20.2208,-70.1431,69.8,56,0,17.27,CL,2021-04-23 21:59:49
73,Bow Island,49.8668,-111.3684,39.2,30,100,4.61,CA,2021-04-23 21:59:49
74,Comodoro Rivadavia,-45.8667,-67.5,55.4,76,40,2.68,AR,2021-04-23 21:59:50
75,Mantua,45.1667,10.7833,55.99,76,0,3.83,IT,2021-04-23 21:59:50
76,Najran,17.4924,44.1277,75.2,22,0,2.51,SA,2021-04-23 21:59:51
77,Wundanyi,-3.4019,38.364,62.55,88,39,3.65,KE,2021-04-23 21:59:51
78,Smoky Lake,54.1169,-112.4686,39.2,37,100,6.91,CA,2021-04-23 21:59:52
79,Kudahuvadhoo,2.6708,72.8944,82.92,68,21,11.99,MV,2021-04-23 21:59:52
80,Bilibino,68.0546,166.4372,20.37,85,99,3.83,RU,2021-04-23 21:59:52
81,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.2,81,20,2.24,RU,2021-04-23 21:59:53
82,Haines Junction,60.7522,-137.5108,50.0,25,9,5.75,CA,2021-04-23 21:59:53
83,Monroe,43.1501,-77.6831,59.0,33,20,20.71,US,2021-04-23 21:59:21
84,Flinders,-34.5833,150.8552,54.0,82,89,1.01,AU,2021-04-23 21:59:54
85,East London,-33.0153,27.9116,64.45,76,8,10.0,ZA,2021-04-23 21:58:32
86,Edgewater,28.9889,-80.9023,73.99,60,20,13.8,US,2021-04-23 21:55:03
87,Jamestown,42.097,-79.2353,55.4,30,1,17.27,US,2021-04-23 21:59:55
88,Burnie,-41.0667,145.9167,50.0,96,89,5.01,AU,2021-04-23 21:59:55
89,Sorong,-0.8833,131.25,78.84,87,89,6.67,ID,2021-04-23 21:59:55
90,Sao Mateus Do Sul,-25.8742,-50.3828,58.1,66,3,2.48,BR,2021-04-23 21:59:56
91,Tias,28.9611,-13.645,69.8,68,40,10.36,ES,2021-04-23 21:59:56
92,New Norfolk,-42.7826,147.0587,52.0,89,97,7.38,AU,2021-04-23 21:55:15
93,Maneromango,-7.1988,38.7848,68.99,93,6,3.98,TZ,2021-04-23 21:59:57
94,Port Alfred,-33.5906,26.891,66.43,72,0,21.41,ZA,2021-04-23 21:59:45
95,Vaini,-21.2,-175.2,82.4,83,20,3.44,TO,2021-04-23 21:59:57
96,Manturovo,58.3353,44.7619,47.35,74,98,7.85,RU,2021-04-23 21:59:58
97,Albany,42.6001,-73.9662,57.99,20,5,5.99,US,2021-04-23 21:59:58
98,Nome,64.5011,-165.4064,41.0,65,1,5.75,US,2021-04-23 21:57:06
99,Cape Town,-33.9258,18.4232,59.0,82,0,5.75,ZA,2021-04-23 21:58:47
100,Hasaki,35.7333,140.8333,50.0,76,40,8.05,JP,2021-04-23 21:59:59
101,Chuy,-33.6971,-53.4616,66.92,83,17,13.04,UY,2021-04-23 21:59:59
102,Ahipara,-35.1667,173.1667,65.23,69,46,9.44,NZ,2021-04-23 22:00:00
103,Nelson Bay,-32.7167,152.15,53.01,87,100,9.22,AU,2021-04-23 21:56:15
104,Beyneu,45.3167,55.2,51.44,71,13,14.38,KZ,2021-04-23 22:00:01
105,Nueva Gerona,21.8833,-82.8,85.12,51,38,11.32,CU,2021-04-23 22:00:01
106,Ribeira Grande,38.5167,-28.7,59.0,72,40,26.46,PT,2021-04-23 21:56:19
107,Catamarca,-28.4696,-65.7852,73.99,75,34,1.99,AR,2021-04-23 21:55:30
108,Thompson,55.7435,-97.8558,24.8,74,90,13.8,CA,2021-04-23 22:00:04
109,Saskylakh,71.9167,114.0833,33.6,97,100,20.09,RU,2021-04-23 22:00:05
110,Yar-Sale,66.8333,70.8333,34.07,99,100,10.22,RU,2021-04-23 22:00:06
111,Olinda,-8.0089,-34.8553,80.6,69,40,8.05,BR,2021-04-23 22:00:08
112,Seymchan,62.8833,152.4333,16.38,85,100,15.17,RU,2021-04-23 22:00:10
113,Aasiaat,68.7098,-52.8699,30.61,73,100,4.07,GL,2021-04-23 22:00:11
114,Airai,-8.9266,125.4092,57.72,87,19,2.73,TL,2021-04-23 22:00:11
115,Chokurdakh,70.6333,147.9167,-0.53,91,68,1.9,RU,2021-04-23 22:00:12
116,Pevek,69.7008,170.3133,12.76,89,48,3.58,RU,2021-04-23 22:00:00
117,Castro,-24.7911,-50.0119,57.15,75,5,2.39,BR,2021-04-23 22:00:13
118,Tiznit,29.5833,-9.5,59.86,71,59,5.79,MA,2021-04-23 22:00:14
119,Mombetsu,44.3525,143.3525,51.01,61,97,7.0,JP,2021-04-23 22:00:14
120,Buraydah,26.326,43.975,82.4,18,0,4.61,SA,2021-04-23 21:59:41
121,Gizo,-8.103,156.8419,82.81,73,95,8.79,SB,2021-04-23 22:00:15
122,Prince Rupert,54.3161,-130.3201,53.6,62,1,6.91,CA,2021-04-23 21:55:27
123,Arzachena,41.0769,9.3887,50.0,93,0,4.61,IT,2021-04-23 22:00:16
124,Longyearbyen,78.2186,15.6401,14.0,67,75,13.8,SJ,2021-04-23 22:00:17
125,Oranjemund,-28.55,16.4333,61.34,88,63,4.99,NA,2021-04-23 22:00:17
126,Georgiyevka,43.0369,74.7114,35.6,44,0,11.18,KZ,2021-04-23 22:00:18
127,Dauriya,49.9333,116.8667,34.92,22,100,4.41,RU,2021-04-23 22:00:19
128,Sao Filipe,14.8961,-24.4956,72.66,72,45,11.03,CV,2021-04-23 21:59:55
129,Torbay,47.6666,-52.7314,43.0,70,75,21.85,CA,2021-04-23 22:00:19
130,Upernavik,72.7868,-56.1549,31.51,79,100,5.99,GL,2021-04-23 22:00:20
131,Lata,40.1629,-8.3327,60.01,90,97,4.32,PT,2021-04-23 22:00:21
132,Coquimbo,-29.9533,-71.3436,64.4,59,40,11.5,CL,2021-04-23 21:58:48
133,Roald,62.5833,6.1333,33.01,93,93,10.92,NO,2021-04-23 22:00:22
134,Auki,-8.7676,160.7034,81.1,76,31,2.93,SB,2021-04-23 22:00:22
135,Ewa Beach,21.3156,-158.0072,84.2,48,40,10.36,US,2021-04-23 21:56:09
136,Caravelas,-17.7125,-39.2481,75.11,82,38,7.49,BR,2021-04-23 22:00:23
137,Melilla,35.2937,-2.9383,62.6,82,75,16.11,ES,2021-04-23 22:00:24
138,Krasnoselkup,65.7,82.4667,28.94,89,91,16.91,RU,2021-04-23 22:00:25
139,Katsuura,35.1333,140.3,55.99,67,20,6.91,JP,2021-04-23 22:00:25
140,Buxar,25.5833,83.9833,81.48,21,39,4.59,IN,2021-04-23 22:00:26
141,Saint-Philippe,-21.3585,55.7679,77.0,73,78,6.91,RE,2021-04-23 21:59:43
142,Tomatlan,19.9333,-105.25,93.34,24,29,13.62,MX,2021-04-23 22:00:27
143,Harrisonburg,38.4496,-78.8689,60.8,29,40,8.05,US,2021-04-23 21:57:21
144,Heihe,50.2441,127.4902,28.4,59,20,4.47,CN,2021-04-23 22:00:27
145,Lubango,-14.9172,13.4925,65.61,51,99,2.98,AO,2021-04-23 22:00:28
146,Avallon,47.4833,3.9,46.0,48,1,5.46,FR,2021-04-23 22:00:29
147,Severo-Kurilsk,50.6789,156.125,36.16,92,95,8.12,RU,2021-04-23 22:00:29
148,Kaitangata,-46.2817,169.8464,54.0,77,22,1.99,NZ,2021-04-23 22:00:30
149,Opelousas,30.5335,-92.0815,71.01,83,90,6.91,US,2021-04-23 22:00:30
150,Grand Forks,47.9417,-97.4337,37.4,44,90,17.27,US,2021-04-23 22:00:31
151,Alyangula,-13.8483,136.4192,66.2,100,60,3.44,AU,2021-04-23 22:00:32
152,Atambua,-9.1061,124.8925,70.84,85,29,4.27,ID,2021-04-23 22:00:32
153,Kyaikto,17.3,97.0167,80.85,83,83,4.56,MM,2021-04-23 22:00:33
154,Esperantina,-3.9017,-42.2336,75.58,92,100,2.57,BR,2021-04-23 22:00:34
155,Narsaq,60.9167,-46.05,44.6,53,1,6.91,GL,2021-04-23 22:00:34
156,Norman,35.2226,-97.4395,61.0,100,90,12.66,US,2021-04-23 22:00:35
157,Hithadhoo,-0.6,73.0833,82.0,74,7,7.9,MV,2021-04-23 21:56:59
158,Sept-Iles,50.2001,-66.3821,37.0,93,81,5.75,CA,2021-04-23 22:00:36
159,Antanifotsy,-19.65,47.3167,56.77,92,100,2.06,MG,2021-04-23 22:00:37
160,Cap Malheureux,-19.9842,57.6142,79.0,79,99,1.99,MU,2021-04-23 22:00:37
161,Alofi,-19.0595,-169.9187,84.2,79,10,5.75,NU,2021-04-23 22:00:30
162,Ulaanbaatar,47.9077,106.8832,39.2,35,75,4.47,MN,2021-04-23 22:00:38
163,Mar Del Plata,-38.0023,-57.5575,71.6,78,0,6.91,AR,2021-04-23 21:56:50
164,Kodiak,57.79,-152.4072,39.2,87,90,9.22,US,2021-04-23 22:00:39
165,Muros,42.7762,-9.0603,60.01,90,52,7.18,ES,2021-04-23 22:00:40
166,Leua,48.2156,18.6071,42.01,64,1,5.01,SK,2021-04-23 22:00:40
167,Gat,31.61,34.7642,66.99,100,74,3.0,IL,2021-04-23 22:00:41
168,Honningsvag,70.9821,25.9704,34.11,58,99,15.77,NO,2021-04-23 22:00:41
169,Tasiilaq,65.6145,-37.6368,35.6,60,75,4.61,GL,2021-04-23 22:00:42
170,Dutse,11.7594,9.3392,87.75,13,67,7.49,NG,2021-04-23 22:00:43
171,Kavieng,-2.5744,150.7967,80.24,79,100,4.7,PG,2021-04-23 22:00:43
172,Ozinki,51.1786,49.6769,44.65,95,100,7.61,RU,2021-04-23 22:00:44
173,Ixtapa,20.7,-105.2,82.4,65,1,11.5,MX,2021-04-23 22:00:44
174,Camalu,30.85,-116.0667,64.99,43,2,11.01,MX,2021-04-23 22:00:45
175,Plettenberg Bay,-34.0527,23.3716,61.16,91,17,6.87,ZA,2021-04-23 22:00:45
176,Tautira,-17.7333,-149.15,86.0,66,75,3.44,PF,2021-04-23 22:00:46
177,Shingu,33.7333,135.9833,59.54,67,100,4.18,JP,2021-04-23 22:00:47
178,Half Moon Bay,37.4636,-122.4286,64.99,82,90,9.22,US,2021-04-23 22:00:47
179,Jumla,29.2747,82.1838,43.11,83,88,6.71,NP,2021-04-23 21:59:59
180,Cidreira,-30.1811,-50.2056,70.59,78,2,18.07,BR,2021-04-23 22:00:48
181,Soe,-9.8607,124.284,63.12,92,9,3.76,ID,2021-04-23 22:00:48
182,Port Lincoln,-34.7333,135.8667,59.4,73,78,4.07,AU,2021-04-23 22:00:49
183,Constitucion,-35.3333,-72.4167,58.01,72,0,9.37,CL,2021-04-23 22:00:49
184,Dong Hoi,17.4833,106.6,78.49,82,33,3.85,VN,2021-04-23 22:00:50
185,Taber,49.8167,-112.1518,39.2,41,100,3.44,CA,2021-04-23 22:00:12
186,Tecoanapa,16.5167,-98.75,85.37,57,100,10.89,MX,2021-04-23 22:00:51
187,Fjerritslev,57.0813,9.2664,42.01,87,8,5.75,DK,2021-04-23 22:00:51
188,Yenagoa,4.9247,6.2642,78.6,90,59,3.09,NG,2021-04-23 22:00:52
189,Angoche,-16.2325,39.9086,76.26,78,86,8.9,MZ,2021-04-23 22:00:53
190,Jiwani,25.05,61.7417,81.9,75,61,13.65,PK,2021-04-23 22:00:53
191,Bilecik,40.0,30.1667,57.2,62,0,10.36,TR,2021-04-23 22:00:54
192,Naze,28.3667,129.4833,69.8,68,75,25.32,JP,2021-04-23 22:00:55
193,Huanren,41.2647,125.3667,50.05,87,92,3.2,CN,2021-04-23 22:00:55
194,Thinadhoo,0.5333,72.9333,82.31,68,9,8.52,MV,2021-04-23 22:00:56
195,Tiksi,71.6872,128.8694,7.45,94,98,7.36,RU,2021-04-23 22:00:56
196,Zhezkazgan,47.8043,67.7144,38.46,30,96,15.52,KZ,2021-04-23 22:00:57
197,Laguna,38.421,-121.4238,78.01,35,20,10.36,US,2021-04-23 22:00:58
198,Faanui,-16.4833,-151.75,80.4,74,80,9.82,PF,2021-04-23 22:00:58
199,Saldanha,-33.0117,17.9442,57.2,77,78,4.61,ZA,2021-04-23 22:00:59
